#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
75,"Hello, Brooklyn","All Time Low",24,148,"pop punk, emo, punk","Rock, Pop","Nothing Personal",2009-07-07,03:29,50,89,7,0,73,0,0,-3,A,4,2025-10-06,3zdwTjxHIPhiXBhUSuGVKX,"Hopeless Records",11B,USHR20947008
76,"Love is for Losers","The Longshot",37,130,"","","Love Is for Losers",2018-04-20,02:41,45,94,0,0,53,0,30,-3,A,4,2025-10-06,1AjBrPjcQYvqjnFswwToga,"The Longshot",11B,US39N1844565
77,"Fake Tales Of San Francisco","Arctic Monkeys",63,127,"indie, garage rock","Rock, Pop","Whatever People Say I Am, That's What I'm Not",2006-01-29,02:57,45,78,1,0,70,0,0,-4,A,4,2025-10-06,7BuzJmV2h6eBbSDdRaDY7C,"Domino Recording Co",11B,GBCEL0501182
78,"I Loved The Way She Said L.A.","Spitalfield",36,179,"pop punk, emo","Rock, Pop","Remember Right Now",2003-06-17,03:19,51,93,0,0,88,0,10,-4,C,4,2025-10-06,4hMyqbIFkgcvKWfK4Sawdz,"Victory Records",8B,USVIC0320204
79,"Be My End","Creeper",36,164,"horror punk","Metal, Rock","Sex, Death & The Infinite Void",2020-07-31,02:38,37,88,0,0,41,0,10,-3,C,4,2025-10-06,7eLYhAB7GzyoO1kgZdNkOa,"Roadrunner Records",8B,GBAHT2000145
80,"If I'm James Dean, You're Audrey Hepburn","Sleeping With Sirens",68,158,"emo, post-hardcore, screamo","Rock, Metal","With Ears To See And Eyes To Hear",2010-03-22,03:39,43,94,0,0,42,0,90,-6,G#/A♭ minor,4,2025-10-06,2D4LEUzvLRCQOLMxnajH72,"Rise Records",1A,USEK71009301
81,"Stockholm Syndrome","Muse",66,128,"alternative rock, rock","Rock","Absolution",2003-09-15,04:56,41,98,0,1,10,0,10,-3,D,4,2025-10-06,3ox5lIXRf4r977FsE7JfXs,"Warner Records",10B,GBAHT1901183
82,"Sk8er Boi","Avril Lavigne",78,150,"","","Let Go",2002-06-04,03:24,49,90,0,0,48,0,30,-4,C,4,2025-10-06,00Mb3DuaIH1kjrwOku9CGU,"Arista",8B,USAR10200229
83,"Just A Girl","No Doubt",74,108,"","","Tragic Kingdom",1995-10-10,03:29,64,91,7,0,77,0,10,-5,D,4,2025-10-06,5lWRaa0fBxDE5yU91npPq7,"Trauma",10B,USIR19500272
84,"Breaking Out","The Protomen",37,142,"","","Act II: The Father Of Death",2009-09-08,07:16,57,94,14,4,52,0,10,-4,B minor,4,2025-10-06,2KIeSlOfEpraHeXV64GmKW,"SoundMachine",10A,US6QM0900008
85,"The Good Doctor","The Protomen",33,92,"","","Act II: The Father Of Death",2009-09-08,06:08,51,56,64,0,27,0,10,-10,D minor,4,2025-10-06,7vBm3J7Ywi5Bz5UK1gmcLE,"SoundMachine",7A,US6QM0900002
86,"Father Of Death","The Protomen",33,64,"","","Act II: The Father Of Death",2009-09-08,05:04,25,55,23,3,27,0,10,-7,A minor,4,2025-10-06,6RCQsP7j8eHx9n6b3TXaq2,"SoundMachine",8A,US6QM0900003
87,"The Hounds","The Protomen",42,104,"","","Act II: The Father Of Death",2009-09-08,04:31,60,90,0,7,58,10,0,-4,C♯/D♭ minor,4,2025-10-06,4GwNeCsNlcnxtss75iWnDY,"SoundMachine",12A,US6QM0900004
88,"Keep Quiet","The Protomen",35,154,"","","Act II: The Father Of Death",2009-09-08,07:30,46,77,20,7,15,0,10,-5,E,4,2025-10-06,6QbzZ6jFa7Ph2NUTc0XAT5,"SoundMachine",12B,US6QM0900009
89,"Can't Get It Out","Brand New",49,98,"emo, pop punk, post-hardcore","Rock, Pop","Science Fiction",2017-08-18,03:42,56,72,0,0,26,0,60,-3,G#/A♭,4,2025-10-06,03gwBLH630cKYF1gr6hMGF,"Procrastinate! Music Traitors",4B,QM4U61700902
90,"Wolf in Sheep's Clothing (feat. William Beckett)","Set It Off",65,165,"","","Duality",2014-10-14,03:07,45,91,0,0,71,0,40,-4,B minor,4,2025-10-06,4WXFDVe299Po8ih6Np54n2,"Equal Vision Records",10A,US3X51429208
91,"Hailey","ANSON",24,170,"","","Hailey",2017-09-06,03:29,33,84,0,0,37,0,30,-3,F,4,2025-10-06,5erU135NMlNr74LSS9QNgE,"ANSON",7B,TCADD1774525
92,"14 Arms","Crash Kings",18,166,"","","Crash Kings",2009-01-01,02:43,28,93,1,11,51,0,20,-4,G#/A♭,4,2025-10-06,3Zq4MrbRY9nuM64hd1lTit,"Custard/Universal Motown Records",4B,USUM70962273
93,"Let's Dance to Joy Division","The Wombats",51,117,"indie","Pop, Rock","Proudly Present... A Guide to Love, Loss & Desperation (Special Edition)",2007-07-25,03:11,40,84,0,0,75,10,50,-7,E,4,2025-10-06,60Ih7J2Q1o9shvMC2OAALu,"Roadrunner Records",12B,GBFTG0300132
94,"Bang The Doldrums","Fall Out Boy",58,128,"emo, pop punk","Rock, Pop","Infinity On High",2007-01-01,03:31,57,95,0,0,69,0,0,-3,C♯/D♭,4,2025-10-06,1Fvf8AO4GWwjLU12Im0s0q,"Island Records",3B,USUM70700333
95,"Song 2 - 2012 Remaster","Blur",79,130,"britpop, madchester, alternative rock","Rock, Pop","Blur (Special Edition)",1997-02-10,02:01,67,79,0,1,92,0,0,-7,G#/A♭,4,2025-10-06,1FTSo4v6BOZH9QxKc3MbVM,"Parlophone UK",4B,GBAYE1200348
96,"Song 2 - 2012 Remaster","Blur",79,130,"britpop, madchester, alternative rock","Rock, Pop","Blur (Special Edition)",1997-02-10,02:01,67,79,0,1,92,0,0,-7,G#/A♭,4,2025-10-06,1FTSo4v6BOZH9QxKc3MbVM,"Parlophone UK",4B,GBAYE1200348
97,"House of Wolves","My Chemical Romance",66,106,"emo, pop punk","Rock, Pop","The Black Parade",2006-10-20,03:04,45,98,0,2,24,10,10,-3,C,4,2025-10-06,7j2Bmzpnf6RwEWEQ2sv8Ho,"Reprise",8B,USRE10602908
98,"Wishing Wells","The Colourist",31,135,"","","The Colourist",2014-01-01,04:17,54,93,0,0,40,0,10,-5,C,4,2025-10-06,6aAwVy5Hzf44HaXlG6INFO,"Universal Records",8B,USUM71320333
99,"Iris","The Goo Goo Dolls",92,156,"","","Dizzy up the Girl",1998-00-00,04:49,32,72,0,0,50,0,0,-8,B minor,3,2025-10-06,6Qyc6fS4DsZjB2mRW9DsQs,"Warner Records",10A,USWB19800160
100,"Clocks And Time Pieces","Search The City",33,160,"pop punk","Pop, Rock","A Fire So Big The Heavens Can See It",2008-01-01,03:59,43,94,0,0,30,0,20,-5,C minor,4,2025-10-06,5s8773gb8SaWYrZn2mY6Sw,"Tooth & Nail (TNN)",5A,USTN10700634
101,"My Life Is Over and I Couldn't Be Happier","PUP",40,172,"midwest emo, indie punk, emo, punk","Rock","The Dream Is Over",2016-05-27,02:26,33,99,0,0,16,0,10,-1,D#/E♭,4,2025-10-06,0zGByXj23MbHVbVtkuarVL,"SideOneDummy Records",5B,USA6G1661507
102,"Gave You Everything","The Interrupters",51,163,"ska punk, ska, punk, skate punk","Rock, Reggae","Fight the Good Fight",2018-06-29,03:07,45,97,0,0,48,0,30,-4,D,4,2025-10-06,4C0ZP5m9z0pfefQHUhach5,"Hellcat/Epitaph",10B,USHEL1801007
103,"Sending Postcards From a Plane Crash (Wish You Were Here)","Fall Out Boy",46,106,"emo, pop punk","Rock, Pop","Take This to Your Grave",2003-05-06,02:56,60,97,0,0,60,0,20,-4,C♯/D♭ minor,4,2025-10-06,6myPy86FHUBJsFi7RAWp5Y,"Fueled By Ramen/ADA/ATL",12A,US56V0506106
104,"I Was a Teenage Anarchist","Against Me!",0,153,"queercore, folk punk, punk, skate punk","Folk, Rock","White Crosses",2011-06-07,03:15,45,95,0,0,49,0,10,-3,A#/B♭,4,2025-10-06,5UwGMbEKlvXFj7DXI1d0P1,"Total Treble",6B,USME31100591
105,"Whisper","Burn The Ballroom",48,180,"","","Melodies for the Outsiders",2014-03-25,04:58,32,90,1,0,36,10,20,-7,C♯/D♭ minor,3,2025-10-06,4PSnOwlsG9tGGvy2ByVSs9,"Burn The Ballroom",12A,TCABW1408059
106,"Destroy Me","Salem",31,138,"horror punk","Metal, Rock","Destroy Me",2020-09-28,03:02,26,99,0,2,24,10,20,-4,C minor,4,2025-10-06,49FkAFLRQuBSiIUhpoNPl5,"Roadrunner Records",5A,GBAHT2000417
107,"Don't Stop Me Now - Remastered 2011","Queen",74,156,"classic rock, rock, glam rock","Rock","Jazz (Deluxe Remastered Version)",1978-11-10,03:29,56,87,5,0,60,10,70,-5,F,4,2025-10-06,7hQJA50XrCWABAu5v6QZ4i,"Hollywood Records",7B,GBUM71029610
108,"Layla","Derek & The Dominos",74,116,"blues rock, classic rock","Blues, Rock","Layla And Other Assorted Love Songs (Remastered 2010)",1970-11-01,07:03,40,90,58,30,50,0,20,-4,C♯/D♭,4,2025-10-06,2kkvB3RNRzwjFdGhaUA0tz,"Universal Music Group International",3B,GBUM71028890
109,"The Happiest Days of Our Lives","Pink Floyd",60,104,"progressive rock, psychedelic rock, classic rock, art rock, rock","Rock","The Wall",1979-11-30,01:50,74,23,55,75,55,0,20,-19,A minor,4,2025-10-06,2O3l4X1yTua8oMMCtazkyo,"Pink Floyd Records",8A,GBN9Y1100098
110,"Another Brick in the Wall, Pt. 2","Pink Floyd",81,104,"progressive rock, psychedelic rock, classic rock, art rock, rock","Rock","The Wall",1979-11-30,03:58,69,39,8,0,72,0,20,-16,C,4,2025-10-06,4gMgiXfqyzZLMhsksGmbQV,"Pink Floyd Records",8B,GBN9Y1100099
111,"Mamma Mia","ABBA",78,138,"","","Abba",1975-00-00,03:33,75,75,30,0,83,0,40,-7,D,4,2025-10-06,2TxCwUlqaOH3TIyJqGgR91,"Polar Music International AB",10B,SEAYD7501010
112,"Dancing Queen","ABBA",84,101,"","","Arrival",1976-00-00,03:50,54,87,36,0,75,0,70,-7,A,4,2025-10-06,0GjEhVFGZW8afUYGChu3Rr,"Polar Music International AB",11B,SEAYD7601020
113,"Police On My Back - Remastered","The Clash",50,146,"punk","Rock","Sandinista! (Remastered)",1980-00-00,03:16,55,86,0,0,90,0,30,-7,G,4,2025-10-06,3lILuFinx7CFaYXJ6FWz54,"Sony Music UK",9B,GBARL1200741
114,"Out of Touch","Daryl Hall & John Oates",50,115,"yacht rock, soft rock","Rock, Pop","Big Bam Boom (Expanded Edition)",1984-00-00,04:21,78,83,7,0,91,0,0,-5,A minor,4,2025-10-06,4mOLsya7jOsaONExOxpryV,"RCA/BMG Heritage",8A,USRC10400608
115,"Black Hole Sun","Soundgarden",57,105,"grunge, post-grunge, hard rock","Rock","Superunknown (20th Anniversary)",1994-03-09,05:18,35,83,0,0,15,0,0,-5,F#/G♭,4,2025-10-06,4xdHI4eFNst0vTZuuKrWjr,"A&M",2B,USAM19400007
116,"The Resistance","Anberlin",43,192,"christian rock, christian alternative rock","Christian, Rock","New Surrender",2008-01-01,03:16,46,93,0,3,56,10,0,-5,F minor,4,2025-10-06,5qAaYMahTumxvF9LuelRtc,"Universal (MT)",4A,USUM70832510
117,"Don't Stop Me Now - Remastered 2011","Queen",74,156,"classic rock, rock, glam rock","Rock","Jazz (Deluxe Remastered Version)",1978-11-10,03:29,56,87,5,0,60,10,70,-5,F,4,2025-10-06,7hQJA50XrCWABAu5v6QZ4i,"Hollywood Records",7B,GBUM71029610
118,"Violet","Hole",64,167,"riot grrrl, grunge","Rock","Live Through This",1994-01-01,03:24,29,78,5,0,38,0,10,-6,G,4,2025-10-06,6CHENx8iqzMwavTIz8s0gm,"DGC",9B,USGF19963101
119,"Find Hell","Ashestoangels",1,82,"horror punk","Metal, Rock","How to Bleed",2016-04-18,03:04,46,91,0,2,62,0,50,-6,F#/G♭ minor,4,2025-10-06,3OIYEpgFaRinDwA0Vo2Xvh,"Horror Cult Inc",11A,TCACL1628788
120,"All I Ask Of You - Reprise","Andrew Lloyd Webber, Phantom Of The Opera Original London Cast, Michael Crawford, Steve Barton, Sarah Brightman",37,81,"musicals, opera","Classical, Easy Listening, Pop","The Phantom Of The Opera",1987-01-01,03:23,19,7,91,3,6,0,0,-15,C,4,2025-10-06,0F8VLTQGhNjBi1ltbVerdE,"Polydor Records",8B,GBALG8700015
121,"The Point Of No Return","Andrew Lloyd Webber, Phantom Of The Opera Original London Cast, Michael Crawford, Sarah Brightman",38,80,"musicals, opera","Classical, Easy Listening, Pop","The Phantom Of The Opera",1987-01-01,05:32,25,20,88,0,8,0,50,-16,F minor,3,2025-10-06,18y1ZP9WCMunAe6QgByGif,"Polydor Records",4A,GBALG8700021
122,"Down Once More / Track Down This Murderer","Andrew Lloyd Webber, Phantom Of The Opera Original London Cast, Michael Crawford, Sarah Brightman, Steve Barton",35,125,"musicals, opera","Classical, Easy Listening, Pop","The Phantom Of The Opera",1987-01-01,11:50,33,16,76,0,5,0,30,-16,G#/A♭,1,2025-10-06,08w39owyASWYcB9lO30DRC,"Polydor Records",4B,GBALG8700022
123,"Under the Mountain II","Mermaidens",4,140,"","","Undergrowth",2016-03-18,04:41,39,55,0,1,22,0,40,-9,G,4,2025-10-07,5zdoIsPM2BvPHDDHzsMtG1,"Flying Out",9B,NZFY01600101
