#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
22,"Luna - 2011 Remaster","The Smashing Pumpkins",70,126,"alternative rock, rock","Rock","Siamese Dream (Deluxe Edition)",1993-00-00,03:22,57,27,1,79,11,0,10,-14,A,4,2025-10-05,5Q6Xzp25aXYxNJ4B6vBkcf,"Virgin Records",11B,USVI21100158
23,"Jealousy - Remastered 2011","Queen",20,81,"classic rock, rock, glam rock","Rock","Jazz",1978-11-10,03:13,58,48,21,0,21,0,20,-10,D#/E♭,4,2025-10-05,2zEr0bUKXugsiB3LHWILt1,"Hollywood Records",5B,GBUM71103320
24,"In Only Seven Days - Remastered 2011","Queen",17,115,"classic rock, rock, glam rock","Rock","Jazz",1978-11-10,02:29,52,47,42,0,43,0,10,-7,D,4,2025-10-05,2kpstT8GrWg1d0UkAlccl3,"Hollywood Records",10B,GBUM71103319
25,"Dreamer's Ball - Remastered 2011","Queen",19,92,"classic rock, rock, glam rock","Rock","Jazz",1978-11-10,03:30,59,37,83,0,40,0,40,-8,A,4,2025-10-05,2yawuHbPvWcyrmgJeByxt2,"Hollywood Records",11B,GBUM71103314
26,"Round And Round","Aerosmith",36,142,"classic rock, rock","Rock","Toys In The Attic",1975-04-08,05:03,35,62,3,2,40,0,60,-11,A,4,2025-10-05,1u50Imus5qrvYl4xTLXq5p,"Aerosmith P&D - Sony",11B,USSM19906484
27,"Cherry Bomb","The Runaways",67,137,"riot grrrl, proto-punk","Rock","The Runaways",1976-00-00,02:18,50,81,5,0,50,0,10,-8,B,4,2025-10-05,7cdnq45E9aP2XDStHg5vd7,"Island Def Jam",1B,USIR20200576
28,"You Make Loving Fun - 2004 Remaster","Fleetwood Mac",74,127,"classic rock, yacht rock, soft rock","Rock, Pop","Rumours",1977-02-04,03:33,63,59,1,4,86,0,0,-9,G minor,4,2025-10-05,28H3wOEKsaEa8NBEYCLl4j,"Rhino/Warner Records",6A,USWB10400054
29,"Rhiannon - 2017 Remaster","Fleetwood Mac",51,130,"classic rock, yacht rock, soft rock","Rock, Pop","Fleetwood Mac (2017 Remaster)",1975-07-11,04:10,73,60,22,14,80,0,10,-10,A minor,4,2025-10-05,3kZUnG3jVpgwh3TQFdTv18,"Rhino/Warner Records",8A,USRH11700074
30,"The Winner Takes It All","ABBA",84,126,"","","Super Trouper",1980-00-00,04:54,45,79,57,0,52,0,0,-7,F#/G♭,4,2025-10-05,3oEkrIfXfSh9zGnE7eBzSV,"Polar Music International AB",2B,SEAYD8001020
31,"There It Goes","Maisie Peters",59,123,"","","The Good Witch",2023-06-23,03:45,62,79,15,0,38,10,20,-6,D,4,2025-10-05,7cqlE9HPKAPpszcj5qlsqc,"Atlantic Records UK",10B,GBAHS2300121
32,"Delicious Things","Wolf Alice",43,121,"indie","Pop, Rock","Blue Weekend",2021-06-04,05:04,49,50,15,6,29,0,20,-6,D,4,2025-10-05,0f1bOH82cQvNNZBmmkKv4d,"Dirty Hit/RCA Records",10B,GBK3W2001629
33,"A Matter Of Time","The Killers",36,142,"alternative rock","Rock","Battle Born",2012-09-17,04:11,34,92,0,18,22,0,10,-5,B minor,4,2025-10-05,6LYNOWzGwVZmi64kwtWLx7,"Island Records",10A,USUM71208808
34,"Deadlines And Commitments","The Killers",38,105,"alternative rock","Rock","Battle Born",2012-09-17,04:22,68,72,7,0,43,0,20,-6,G#/A♭,4,2025-10-05,5qvMfYPAXfxQWDTcSS1YZe,"Island Records",4B,USUM71208821
35,"Speaking With A Ghost","Citizen",44,92,"midwest emo, pop punk, emo, post-hardcore","Rock, Pop","Youth",2013-06-30,03:22,44,80,0,82,24,0,10,-5,C minor,4,2025-10-05,448qVQiHsLPkqJ1WDgsq6O,"Run For Cover Records",5A,USQU71308807
36,"All of My Thoughts","Spiritualized",31,108,"neo-psychedelic, space rock, shoegaze, dream pop","Pop, Rock","Ladies and gentlemen we are floating in space",1997-06-16,04:36,21,37,2,8,16,0,20,-8,G,3,2025-10-05,3IwLbpcJuoFBdqod2XwDZa,"Fat Possum",9B,GBARK9700155
37,"Stay with Me","Spiritualized",33,130,"neo-psychedelic, space rock, shoegaze, dream pop","Pop, Rock","Ladies and gentlemen we are floating in space",1997-06-16,05:08,41,29,1,94,6,0,10,-12,B,5,2025-10-05,6DBsox9g6jOsWerFwrK7Gx,"Fat Possum",1B,GBARK9700156
38,"Normal Thing","Gracie Abrams",55,136,"","","The Secret of Us",2024-06-21,04:02,47,57,79,0,39,10,20,-10,B,4,2025-10-05,1MPulKrmSK9EW5IrawhdRs,"Gracie Abrams, under exclusive license to Interscope Records",1B,USUG12401772
39,"Me and Your Mama","Childish Gambino",5,118,"",""," Awaken, My Love! ",2016-12-02,06:19,55,44,1,3,24,0,0,-12,F,3,2025-10-05,4AFsRbaLKRWo3dDtjDFA2V,"Glassnote Entertainment Group LLC",7B,USYAH1600102
40,"Ode to a Conversation Stuck in Your Throat","Del Water Gap",69,88,"","","Del Water Gap",2021-10-08,03:19,57,80,6,0,62,0,10,-7,B,4,2025-10-05,51Lf3l6wx008NdBxCQnD6B,"Mom+Pop",1B,USAT22002240
41,"D>E>A>T>H>M>E>T>A>L","Panchiko",71,87,"shoegaze","Rock","D>E>A>T>H>M>E>T>A>L",2000-12-05,04:21,26,80,82,52,26,0,10,-7,F minor,4,2025-10-05,4sIFi8LpJWPvI5xviWFyA6,"Panchiko",4A,GBEF30000001
42,"Pancakes for Dinner","Lizzy McAlpine",61,142,"","","Give Me A Minute",2020-08-13,03:55,75,27,76,0,32,0,10,-11,B,4,2025-10-05,1WThEmIxSyaqG6fVsyCmcL,"Lizzy McAlpine",1B,GBKPL2001719
43,"Warm Foothills","alt-J",46,93,"indie, indie rock","Pop, Rock","This Is All Yours",2014-09-22,03:45,27,21,91,10,7,0,10,-16,D,4,2025-10-05,1YUcTZ0ehoHY6G6Prhcbj0,"Canvasback/ATL",10B,GBZUZ1400279
44,"Under the Mountain II","Mermaidens",4,140,"","","Undergrowth",2016-03-18,04:41,39,55,0,1,22,0,40,-9,G,4,2025-10-05,5zdoIsPM2BvPHDDHzsMtG1,"Flying Out",9B,NZFY01600101
45,"We're Going to Be Friends","The White Stripes",69,97,"garage rock, blues rock, rock, alternative rock","Rock, Blues","White Blood Cells",2001-07-03,02:20,53,44,66,0,44,0,0,-6,G,4,2025-10-05,13lZDbwonGhOflQLQIfdtZ,"Legacy Recordings",9B,GBBKS0100357
46,"Eleanor Rigby","Cody Fry",57,129,"","","Symphony Sessions",2022-01-21,04:40,32,24,70,0,21,0,10,-11,E minor,4,2025-10-05,0Dza4b9cnbssw47fu5rfVX,"Cody Fry/Decca US Records",9A,QZMEN2110571
47,"In The Next Life","Kim Petras",37,113,"","","TURN OFF THE LIGHT",2020-10-23,03:44,69,66,1,0,4,0,10,-7,A minor,4,2025-10-05,7ztm5wVc2zVIlotmUHLq7M,"Republic Records",8A,GBWWP1804366
48,"The Summer Ends","American Football",56,166,"midwest emo, math rock, emo","Rock","American Football",1999-09-14,04:46,38,42,39,4,12,0,10,-10,E,1,2025-10-05,7cpfn7H6WjSJseUyRacfUE,"Polyvinyl Records",12B,US3R49900011
49,"Autumn Almanac","The Kinks",0,119,"proto-punk, baroque pop","Classical, Pop, Rock","Something Else (Deluxe)",1967-09-15,03:03,67,56,48,0,63,0,10,-7,A,4,2025-10-05,3mI7yXr0F6nKCS0eag4DPI,"Castle Communications",11B,GBAJE6700007
50,"October Skies","Mumford & Sons",0,78,"folk, indie folk, folk rock","Folk, Rock","Delta",2018-11-16,03:43,55,16,83,2,4,0,0,-16,C,4,2025-10-05,77GRxATpswGNnEJIFvSrHr,"Glassnote Entertainment Group LLC",8B,GBUM71806307
51,"Ohio Is For Lovers","Hawthorne Heights",66,170,"emo, screamo, post-hardcore, pop punk","Rock, Pop, Metal","The Silence In Black And White (Re-Issue)",2004-06-08,04:04,57,84,4,0,61,0,20,-7,G#/A♭ minor,4,2025-10-05,23DHUWJ7iEieNPMPKvjzBV,"Victory Records",1A,USVIC0525008
